drug_id,name,pubchem_id,drugbank_id,kegg_id,note
"PA166122593","sofosbuvir","45375808","DB08934","D10366",""
"PA166163416","sofosbuvir / velpatasvir","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA166177517","sofosbuvir / velpatasvir / voxilaprevir","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA451521","succimer","2724354","DB00566","D00572",""
"PA451522","succinylcholine","5314","DB00202","D00766",""
"PA451539","sulfadiazine","5215","DB00359","D00433",""
"PA10715","sulfamethoxazole / trimethoprim","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA451547","sulfasalazine","5339","DB00795","D00448",""
"PA162372840","sunitinib","5329102","DB01268","D06402",""
"PA166184562","tafamidis","11001318","DB11644","D09673",""
"PA166115580","tafenoquine","115358","DB06608","D10490",""
"PA166182740","talazoparib","135565082","DB11760","D10732",""
"PA451581","tamoxifen","2733526","DB00675","D00966",""
"PA451583","tamsulosin","129211","DB00706","D01024",""
"PA165958354","telaprevir","3010818","DB05521","D09012",""
"PA10202","telithromycin","3002190","DB00976","D01078",""
"PA451614","terbinafine","1549008","DB00857","D02219",""
"PA140222719","tetrabenazine","6018","DB04844","D08575",""
"PA451663","thioguanine","2723601","DB00352","D06109",""
"PA451666","thioridazine","5452","DB00679","D00373",""
"PA165374673","ticagrelor","9871419","DB08816","D09017",""
"PA451690","timolol","33624","DB00373","D00378",""
"PA164769056","tiotropium","5487427","DB01409","D01929",""
"PA166184566","tipiracil / trifluridine","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA163522473","tipranavir","54682461","DB00932","D03843",""
"PA164774902","tolazamide","5503","DB00839","D00379",""
"PA451718","tolbutamide","5505","DB01124","D00380",""
"PA166152940","tolperisone","5511","DB06264","D01507",""
"PA164746757","tolterodine","443879","DB01036","D00646",""
"PA451731","toremifene","3005573","DB00539","D00967",""
"PA164748364","tositumomab","","","D08621","PubChem not found; DrugBank not found"
"PA451735","tramadol","33741","DB00193","D01355",""
"PA166115364","trametinib","11707110","DB08911","D10175",""
"PA451743","trastuzumab","","","D03257","PubChem not found; DrugBank not found"
"PA165958441","trastuzumab emtansine","","","D09980","PubChem not found; DrugBank not found"
"PA451746","tretinoin","444795","DB00755","D00094",""
"PA451791","trimipramine","5584","DB00726","D00394",""
"PA166177519","umeclidinium","11519070","DB09076","D10180",""
"PA166184235","umeclidinium / vilanterol","","","","PubChem not found; DrugBank not found; KEGG not found"
